picocom v3.1

port is        : /dev/ttyACM0
flowcontrol    : none
baudrate is    : 230400
parity is      : none
databits are   : 8
stopbits are   : 1
escape is      : C-a
local echo is  : no
noinit is      : no
noreset is     : no
hangup is      : no
nolock is      : no
send_cmd is    : sz -vv
receive_cmd is : rz -vv -E
imap is        : 8bithex,
omap is        : 
emap is        : crcrlf,delbs,
logfile is     : none
initstring     : none
exit_after is  : not set
exit is        : no

Type [C-a] [C-h] to see available commands
Terminal ready
msg = 10218, nerr =  554p/ 558r, time steps =    5, qsz =    2, switch = off, t =   102182 ms, ax =  0.5191, ay = -0.2517, az =  9.8416, gx = -0.0063 rad/s, gy = -0.0028 rad/s, gz = -0.0099 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.9071 A, I_w_roll =  2.1299 A, theta_pitch = -55.31123mrad, theta_roll_comp = -29.1229 mrad, theta_setpoint = -40.0000 mrad, 
msg = 12673, nerr =  707p/ 670r, time steps =    5, qsz =    2, switch = off, t =   126732 ms, ax =  0.4987, ay = -0.2505, az =  9.8284, gx = -0.0028 rad/s, gy = -0.0030 rad/s, gz = -0.0103 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.8948 A, I_w_roll =  3.0339 A, theta_pitch = -55.15816mrad, theta_roll_comp = -30.0085 mrad, theta_setpoint = -40.0000 mrad, 
msg = 12674, nerr =  707p/ 670r, time steps =    5, qsz =    2, switch = off, t =   126742 ms, ax =  0.4975, ay = -0.2493, az =  9.8284, gx = -0.0026 rad/s, gy = -0.0029 rad/s, gz = -0.0105 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.8871 A, I_w_roll =  3.0881 A, theta_pitch = -55.14248mrad, theta_roll_comp = -29.9895 mrad, theta_setpoint = -40.0000 mrad, 
msg = 12675, nerr =  707p/ 670r, time steps =    5, qsz =    2, switch = off, t =   126752 ms, ax =  0.4951, ay = -0.2505, az =  9.8380, gx = -0.0025 rad/s, gy = -0.0028 rad/s, gz = -0.0108 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.8789 A, I_w_roll =  3.1428 A, theta_pitch = -55.12349mrad, theta_roll_comp = -29.9693 mrad, theta_setpoint = -40.0000 mrad, 
msg = 12676, nerr =  707p/ 670r, time steps =    5, qsz =    2, switch = off, t =   126762 ms, ax =  0.4963, ay = -0.2553, az =  9.8380, gx = -0.0024 rad/s, gy = -0.0028 rad/s, gz = -0.0107 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.8759 A, I_w_roll =  3.1967 A, theta_pitch = -55.10340mrad, theta_roll_comp = -29.9510 mrad, theta_setpoint = -40.0000 mrad, 
msg = 12677, nerr =  707p/ 670r, time steps =    5, qsz =    2, switch = off, t =   126772 ms, ax =  0.5035, ay = -0.2541, az =  9.8428, gx = -0.0022 rad/s, gy = -0.0026 rad/s, gz = -0.0107 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.8682 A, I_w_roll =  3.2505 A, theta_pitch = -55.08713mrad, theta_roll_comp = -29.9331 mrad, theta_setpoint = -40.0000 mrad, 
msg = 12678, nerr =  708p/ 670r, time steps =    5, qsz =    2, switch = off, t =   126782 ms, ax =  0.5035, ay = -0.2541, az =  9.8464, gx = -0.0026 rad/s, gy = -0.0025 rad/s, gz = -0.0103 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.8607 A, I_w_roll =  3.1174 A, theta_pitch = -55.07283mrad, theta_roll_comp = -29.9162 mrad, theta_setpoint = -40.0000 mrad, 
msg = 12679, nerr =  708p/ 670r, time steps =    5, qsz =    2, switch = off, t =   126792 ms, ax =  0.5095, ay = -0.2469, az =  9.8452, gx = -0.0026 rad/s, gy = -0.0032 rad/s, gz = -0.0100 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.8861 A, I_w_roll =  3.1249 A, theta_pitch = -55.06480mrad, theta_roll_comp = -29.8975 mrad, theta_setpoint = -40.0000 mrad, 
msg = 12680, nerr =  708p/ 670r, time steps =    5, qsz =    2, switch = off, t =   126802 ms, ax =  0.5107, ay = -0.2421, az =  9.8452, gx = -0.0025 rad/s, gy = -0.0033 rad/s, gz = -0.0099 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.8913 A, I_w_roll =  3.1817 A, theta_pitch = -55.06413mrad, theta_roll_comp = -29.8722 mrad, theta_setpoint = -40.0000 mrad, 
msg = 12681, nerr =  708p/ 670r, time steps =    5, qsz =    2, switch = off, t =   126812 ms, ax =  0.5155, ay = -0.2457, az =  9.8440, gx = -0.0025 rad/s, gy = -0.0030 rad/s, gz = -0.0099 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.8810 A, I_w_roll =  3.1920 A, theta_pitch = -55.06585mrad, theta_roll_comp = -29.8462 mrad, theta_setpoint = -40.0000 mrad, 
msg = 12682, nerr =  708p/ 670r, time steps =    5, qsz =    2, switch = off, t =   126822 ms, ax =  0.5202, ay = -0.2493, az =  9.8356, gx = -0.0022 rad/s, gy = -0.0029 rad/s, gz = -0.0101 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.8764 A, I_w_roll =  3.2945 A, theta_pitch = -55.07073mrad, theta_roll_comp = -29.8229 mrad, theta_setpoint = -40.0000 mrad, 
msg = 12683, nerr =  708p/ 670r, time steps =    5, qsz =    2, switch = off, t =   126832 ms, ax =  0.5250, ay = -0.2517, az =  9.8392, gx = -0.0024 rad/s, gy = -0.0024 rad/s, gz = -0.0100 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.8560 A, I_w_roll =  3.2562 A, theta_pitch = -55.07705mrad, theta_roll_comp = -29.8024 mrad, theta_setpoint = -40.0000 mrad, 
msg = 12684, nerr =  708p/ 670r, time steps =    5, qsz =    2, switch = off, t =   126842 ms, ax =  0.5334, ay = -0.2541, az =  9.8476, gx = -0.0025 rad/s, gy = -0.0025 rad/s, gz = -0.0096 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.8630 A, I_w_roll =  3.2163 A, theta_pitch = -55.08803mrad, theta_roll_comp = -29.7856 mrad, theta_setpoint = -40.0000 mrad, 
msg = 12685, nerr =  708p/ 670r, time steps =    5, qsz =    2, switch = off, t =   126852 ms, ax =  0.5310, ay = -0.2637, az =  9.8536, gx = -0.0024 rad/s, gy = -0.0026 rad/s, gz = -0.0099 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.8705 A, I_w_roll =  3.2671 A, theta_pitch = -55.10245mrad, theta_roll_comp = -29.7751 mrad, theta_setpoint = -40.0000 mrad, 
msg = 12686, nerr =  708p/ 670r, time steps =    5, qsz =    2, switch = off, t =   126862 ms, ax =  0.5250, ay = -0.2553, az =  9.8536, gx = -0.0022 rad/s, gy = -0.0026 rad/s, gz = -0.0101 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.8720 A, I_w_roll =  3.3185 A, theta_pitch = -55.11280mrad, theta_roll_comp = -29.7632 mrad, theta_setpoint = -40.0000 mrad, 
msg = 12687, nerr =  708p/ 670r, time steps =    5, qsz =    2, switch = off, t =   126872 ms, ax =  0.5238, ay = -0.2457, az =  9.8452, gx = -0.0024 rad/s, gy = -0.0025 rad/s, gz = -0.0099 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.8676 A, I_w_roll =  3.2801 A, theta_pitch = -55.11916mrad, theta_roll_comp = -29.7425 mrad, theta_setpoint = -40.0000 mrad, 
msg = 12688, nerr =  708p/ 670r, time steps =    5, qsz =    2, switch = off, t =   126882 ms, ax =  0.5191, ay = -0.2457, az =  9.8428, gx = -0.0026 rad/s, gy = -0.0026 rad/s, gz = -0.0099 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.8735 A, I_w_roll =  3.1961 A, theta_pitch = -55.12268mrad, theta_roll_comp = -29.7196 mrad, theta_setpoint = -40.0000 mrad, 
msg = 12689, nerr =  708p/ 670r, time steps =    5, qsz =    2, switch = off, t =   126892 ms, ax =  0.5250, ay = -0.2409, az =  9.8452, gx = -0.0028 rad/s, gy = -0.0028 rad/s, gz = -0.0097 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.8797 A, I_w_roll =  3.1588 A, theta_pitch = -55.12844mrad, theta_roll_comp = -29.6964 mrad, theta_setpoint = -40.0000 mrad, 
msg = 12690, nerr =  708p/ 670r, time steps =    5, qsz =    2, switch = off, t =   126902 ms, ax =  0.5238, ay = -0.2326, az =  9.8500, gx = -0.0028 rad/s, gy = -0.0026 rad/s, gz = -0.0101 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.8755 A, I_w_roll =  3.1705 A, theta_pitch = -55.13604mrad, theta_roll_comp = -29.6671 mrad, theta_setpoint = -40.0000 mrad, 
msg = 12691, nerr =  708p/ 670r, time steps =    5, qsz =    2, switch = off, t =   126912 ms, ax =  0.5238, ay = -0.2445, az =  9.8476, gx = -0.0026 rad/s, gy = -0.0025 rad/s, gz = -0.0101 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.8710 A, I_w_roll =  3.2280 A, theta_pitch = -55.14162mrad, theta_roll_comp = -29.6399 mrad, theta_setpoint = -40.0000 mrad, 
msg = 12692, nerr =  709p/ 670r, time steps =    5, qsz =    2, switch = off, t =   126922 ms, ax =  0.5214, ay = -0.2505, az =  9.8428, gx = -0.0028 rad/s, gy = -0.0028 rad/s, gz = -0.0101 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.8825 A, I_w_roll =  3.1885 A, theta_pitch = -55.14684mrad, theta_roll_comp = -29.6220 mrad, theta_setpoint = -40.0000 mrad, 
msg = 12693, nerr =  709p/ 670r, time steps =    5, qsz =    2, switch = off, t =   126932 ms, ax =  0.5191, ay = -0.2469, az =  9.8416, gx = -0.0028 rad/s, gy = -0.0026 rad/s, gz = -0.0101 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.8776 A, I_w_roll =  3.1950 A, theta_pitch = -55.15028mrad, theta_roll_comp = -29.6059 mrad, theta_setpoint = -40.0000 mrad, 
msg = 12694, nerr =  709p/ 670r, time steps =    5, qsz =    2, switch = off, t =   126942 ms, ax =  0.5143, ay = -0.2457, az =  9.8368, gx = -0.0029 rad/s, gy = -0.0025 rad/s, gz = -0.0101 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.8721 A, I_w_roll =  3.1554 A, theta_pitch = -55.14876mrad, theta_roll_comp = -29.5884 mrad, theta_setpoint = -40.0000 mrad, 
msg = 12695, nerr =  709p/ 670r, time steps =    5, qsz =    2, switch = off, t =   126952 ms, ax =  0.5107, ay = -0.2469, az =  9.8392, gx = -0.0028 rad/s, gy = -0.0028 rad/s, gz = -0.0100 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.8820 A, I_w_roll =  3.2089 A, theta_pitch = -55.14395mrad, theta_roll_comp = -29.5711 mrad, theta_setpoint = -40.0000 mrad, 
msg = 12696, nerr =  709p/ 670r, time steps =    5, qsz =    2, switch = off, t =   126962 ms, ax =  0.5179, ay = -0.2505, az =  9.8392, gx = -0.0028 rad/s, gy = -0.0025 rad/s, gz = -0.0101 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.8709 A, I_w_roll =  3.2150 A, theta_pitch = -55.14116mrad, theta_roll_comp = -29.5558 mrad, theta_setpoint = -40.0000 mrad, 
msg = 12697, nerr =  709p/ 670r, time steps =    5, qsz =    3, switch = off, t =   126972 ms, ax =  0.5131, ay = -0.2505, az =  9.8416, gx = -0.0030 rad/s, gy = -0.0026 rad/s, gz = -0.0100 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.8759 A, I_w_roll =  3.1266 A, theta_pitch = -55.13857mrad, theta_roll_comp = -29.5438 mrad, theta_setpoint = -40.0000 mrad, 
msg = 12698, nerr =  710p/ 670r, time steps =    5, qsz =    2, switch = off, t =   126982 ms, ax =  0.5095, ay = -0.2517, az =  9.8356, gx = -0.0031 rad/s, gy = -0.0032 rad/s, gz = -0.0101 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.8967 A, I_w_roll =  3.0837 A, theta_pitch = -55.13539mrad, theta_roll_comp = -29.5345 mrad, theta_setpoint = -40.0000 mrad, 
msg = 12699, nerr =  710p/ 670r, time steps =    5, qsz =    2, switch = off, t =   126992 ms, ax =  0.5047, ay = -0.2457, az =  9.8308, gx = -0.0031 rad/s, gy = -0.0028 rad/s, gz = -0.0101 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.8797 A, I_w_roll =  3.0882 A, theta_pitch = -55.12856mrad, theta_roll_comp = -29.5234 mrad, theta_setpoint = -40.0000 mrad, 
msg = 12700, nerr =  710p/ 670r, time steps =    5, qsz =    2, switch = off, t =   127002 ms, ax =  0.5095, ay = -0.2433, az =  9.8344, gx = -0.0037 rad/s, gy = -0.0030 rad/s, gz = -0.0100 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.8893 A, I_w_roll =  2.9066 A, theta_pitch = -55.12177mrad, theta_roll_comp = -29.5111 mrad, theta_setpoint = -40.0000 mrad, 
msg = 12701, nerr =  710p/ 670r, time steps =    5, qsz =    2, switch = off, t =   127012 ms, ax =  0.5119, ay = -0.2421, az =  9.8404, gx = -0.0039 rad/s, gy = -0.0034 rad/s, gz = -0.0099 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.9053 A, I_w_roll =  2.8175 A, theta_pitch = -55.12169mrad, theta_roll_comp = -29.5009 mrad, theta_setpoint = -40.0000 mrad, 
msg = 12702, nerr =  710p/ 670r, time steps =    5, qsz =    2, switch = off, t =   127022 ms, ax =  0.5119, ay = -0.2373, az =  9.8452, gx = -0.0041 rad/s, gy = -0.0037 rad/s, gz = -0.0099 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.9166 A, I_w_roll =  2.7755 A, theta_pitch = -55.12572mrad, theta_roll_comp = -29.4895 mrad, theta_setpoint = -40.0000 mrad, 
msg = 12703, nerr =  710p/ 670r, time steps =    5, qsz =    2, switch = off, t =   127032 ms, ax =  0.5214, ay = -0.2338, az =  9.8512, gx = -0.0041 rad/s, gy = -0.0034 rad/s, gz = -0.0099 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.9072 A, I_w_roll =  2.7815 A, theta_pitch = -55.13442mrad, theta_roll_comp = -29.4745 mrad, theta_setpoint = -40.0000 mrad, 
msg = 12704, nerr =  710p/ 670r, time steps =    5, qsz =    2, switch = off, t =   127042 ms, ax =  0.5286, ay = -0.2302, az =  9.8392, gx = -0.0043 rad/s, gy = -0.0036 rad/s, gz = -0.0099 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.9150 A, I_w_roll =  2.6951 A, theta_pitch = -55.15112mrad, theta_roll_comp = -29.4575 mrad, theta_setpoint = -40.0000 mrad, 
msg = 12705, nerr =  710p/ 670r, time steps =    5, qsz =    2, switch = off, t =   127052 ms, ax =  0.5346, ay = -0.2326, az =  9.8488, gx = -0.0045 rad/s, gy = -0.0033 rad/s, gz = -0.0100 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.9077 A, I_w_roll =  2.6546 A, theta_pitch = -55.17344mrad, theta_roll_comp = -29.4422 mrad, theta_setpoint = -40.0000 mrad, 
msg = 12706, nerr =  710p/ 670r, time steps =    5, qsz =    2, switch = off, t =   127062 ms, ax =  0.5274, ay = -0.2350, az =  9.8560, gx = -0.0046 rad/s, gy = -0.0032 rad/s, gz = -0.0104 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.9052 A, I_w_roll =  2.6126 A, theta_pitch = -55.19202mrad, theta_roll_comp = -29.4307 mrad, theta_setpoint = -40.0000 mrad, 
msg = 12707, nerr =  710p/ 670r, time steps =    5, qsz =    3, switch = off, t =   127072 ms, ax =  0.5262, ay = -0.2361, az =  9.8584, gx = -0.0049 rad/s, gy = -0.0026 rad/s, gz = -0.0104 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.8855 A, I_w_roll =  2.5225 A, theta_pitch = -55.20275mrad, theta_roll_comp = -29.4229 mrad, theta_setpoint = -40.0000 mrad, 
msg = 12708, nerr =  710p/ 670r, time steps =    5, qsz =    2, switch = off, t =   127082 ms, ax =  0.5226, ay = -0.2361, az =  9.8488, gx = -0.0049 rad/s, gy = -0.0028 rad/s, gz = -0.0105 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.8918 A, I_w_roll =  2.5248 A, theta_pitch = -55.20932mrad, theta_roll_comp = -29.4171 mrad, theta_setpoint = -40.0000 mrad, 
msg = 12709, nerr =  710p/ 670r, time steps =    5, qsz =    2, switch = off, t =   127092 ms, ax =  0.5167, ay = -0.2350, az =  9.8428, gx = -0.0053 rad/s, gy = -0.0028 rad/s, gz = -0.0104 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.8922 A, I_w_roll =  2.3866 A, theta_pitch = -55.21194mrad, theta_roll_comp = -29.4131 mrad, theta_setpoint = -40.0000 mrad, 
msg = 12710, nerr =  711p/ 670r, time steps =    5, qsz =    2, switch = off, t =   127102 ms, ax =  0.5202, ay = -0.2302, az =  9.8308, gx = -0.0054 rad/s, gy = -0.0028 rad/s, gz = -0.0104 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.8925 A, I_w_roll =  2.3418 A, theta_pitch = -55.21413mrad, theta_roll_comp = -29.4087 mrad, theta_setpoint = -40.0000 mrad, 
msg = 12711, nerr =  711p/ 670r, time steps =    5, qsz =    2, switch = off, t =   127112 ms, ax =  0.5167, ay = -0.2278, az =  9.8392, gx = -0.0057 rad/s, gy = -0.0029 rad/s, gz = -0.0105 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.8983 A, I_w_roll =  2.2509 A, theta_pitch = -55.21681mrad, theta_roll_comp = -29.4029 mrad, theta_setpoint = -40.0000 mrad, 
msg = 12712, nerr =  711p/ 670r, time steps =    5, qsz =    2, switch = off, t =   127122 ms, ax =  0.5155, ay = -0.2254, az =  9.8344, gx = -0.0061 rad/s, gy = -0.0030 rad/s, gz = -0.0104 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.9038 A, I_w_roll =  2.1130 A, theta_pitch = -55.21839mrad, theta_roll_comp = -29.3980 mrad, theta_setpoint = -40.0000 mrad, 
msg = 12713, nerr =  711p/ 670r, time steps =    5, qsz =    2, switch = off, t =   127132 ms, ax =  0.5167, ay = -0.2230, az =  9.8332, gx = -0.0061 rad/s, gy = -0.0029 rad/s, gz = -0.0105 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.8988 A, I_w_roll =  2.1152 A, theta_pitch = -55.22010mrad, theta_roll_comp = -29.3926 mrad, theta_setpoint = -40.0000 mrad, 
msg = 12714, nerr =  711p/ 670r, time steps =    5, qsz =    2, switch = off, t =   127142 ms, ax =  0.5071, ay = -0.2338, az =  9.8368, gx = -0.0066 rad/s, gy = -0.0033 rad/s, gz = -0.0105 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.9145 A, I_w_roll =  1.9278 A, theta_pitch = -55.21858mrad, theta_roll_comp = -29.3950 mrad, theta_setpoint = -40.0000 mrad, 
msg = 12715, nerr =  711p/ 670r, time steps =    5, qsz =    2, switch = off, t =   127152 ms, ax =  0.5071, ay = -0.2338, az =  9.8320, gx = -0.0069 rad/s, gy = -0.0032 rad/s, gz = -0.0103 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.9085 A, I_w_roll =  1.8301 A, theta_pitch = -55.21378mrad, theta_roll_comp = -29.4062 mrad, theta_setpoint = -40.0000 mrad, 
msg = 12716, nerr =  712p/ 670r, time steps =    5, qsz =    2, switch = off, t =   127162 ms, ax =  0.5023, ay = -0.2350, az =  9.8344, gx = -0.0071 rad/s, gy = -0.0030 rad/s, gz = -0.0099 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.9018 A, I_w_roll =  1.7311 A, theta_pitch = -55.20514mrad, theta_roll_comp = -29.4206 mrad, theta_setpoint = -40.0000 mrad, 
msg = 12717, nerr =  712p/ 670r, time steps =    5, qsz =    2, switch = off, t =   127172 ms, ax =  0.5107, ay = -0.2361, az =  9.8344, gx = -0.0073 rad/s, gy = -0.0030 rad/s, gz = -0.0097 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.9008 A, I_w_roll =  1.6776 A, theta_pitch = -55.19822mrad, theta_roll_comp = -29.4380 mrad, theta_setpoint = -40.0000 mrad, 
msg = 12718, nerr =  712p/ 670r, time steps =    5, qsz =    2, switch = off, t =   127182 ms, ax =  0.5107, ay = -0.2397, az =  9.8332, gx = -0.0074 rad/s, gy = -0.0030 rad/s, gz = -0.0095 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.9004 A, I_w_roll =  1.6225 A, theta_pitch = -55.19535mrad, theta_roll_comp = -29.4591 mrad, theta_setpoint = -40.0000 mrad, 
msg = 12719, nerr =  712p/ 670r, time steps =    5, qsz =    2, switch = off, t =   127192 ms, ax =  0.5179, ay = -0.2433, az =  9.8344, gx = -0.0075 rad/s, gy = -0.0034 rad/s, gz = -0.0097 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.9168 A, I_w_roll =  1.5656 A, theta_pitch = -55.19855mrad, theta_roll_comp = -29.4850 mrad, theta_setpoint = -40.0000 mrad, 
msg = 12720, nerr =  712p/ 670r, time steps =    5, qsz =    2, switch = off, t =   127202 ms, ax =  0.5179, ay = -0.2505, az =  9.8392, gx = -0.0081 rad/s, gy = -0.0033 rad/s, gz = -0.0101 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.9126 A, I_w_roll =  1.3653 A, theta_pitch = -55.20603mrad, theta_roll_comp = -29.5196 mrad, theta_setpoint = -40.0000 mrad, 
msg = 12721, nerr =  712p/ 670r, time steps =    5, qsz =    2, switch = off, t =   127212 ms, ax =  0.5167, ay = -0.2505, az =  9.8416, gx = -0.0079 rad/s, gy = -0.0033 rad/s, gz = -0.0105 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.9135 A, I_w_roll =  1.3962 A, theta_pitch = -55.21199mrad, theta_roll_comp = -29.5589 mrad, theta_setpoint = -40.0000 mrad, 
msg = 12722, nerr =  712p/ 670r, time steps =    5, qsz =    2, switch = off, t =   127222 ms, ax =  0.5191, ay = -0.2505, az =  9.8368, gx = -0.0078 rad/s, gy = -0.0034 rad/s, gz = -0.0107 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.9200 A, I_w_roll =  1.4278 A, theta_pitch = -55.21943mrad, theta_roll_comp = -29.5964 mrad, theta_setpoint = -40.0000 mrad, 
msg = 12723, nerr =  712p/ 670r, time steps =    5, qsz =    2, switch = off, t =   127232 ms, ax =  0.5179, ay = -0.2553, az =  9.8356, gx = -0.0078 rad/s, gy = -0.0032 rad/s, gz = -0.0104 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.9104 A, I_w_roll =  1.4121 A, theta_pitch = -55.22661mrad, theta_roll_comp = -29.6357 mrad, theta_setpoint = -40.0000 mrad, 
msg = 12724, nerr =  712p/ 670r, time steps =    5, qsz =    2, switch = off, t =   127242 ms, ax =  0.5131, ay = -0.2577, az =  9.8332, gx = -0.0078 rad/s, gy = -0.0029 rad/s, gz = -0.0104 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.9000 A, I_w_roll =  1.3951 A, theta_pitch = -55.22802mrad, theta_roll_comp = -29.6782 mrad, theta_setpoint = -40.0000 mrad, 
msg = 12725, nerr =  712p/ 670r, time steps =    5, qsz =    2, switch = off, t =   127252 ms, ax =  0.5131, ay = -0.2601, az =  9.8380, gx = -0.0077 rad/s, gy = -0.0028 rad/s, gz = -0.0101 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.8942 A, I_w_roll =  1.4242 A, theta_pitch = -55.22513mrad, theta_roll_comp = -29.7219 mrad, theta_setpoint = -40.0000 mrad, 
msg = 12726, nerr =  712p/ 670r, time steps =    5, qsz =    2, switch = off, t =   127262 ms, ax =  0.5083, ay = -0.2637, az =  9.8368, gx = -0.0077 rad/s, gy = -0.0026 rad/s, gz = -0.0101 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.8878 A, I_w_roll =  1.4059 A, theta_pitch = -55.21825mrad, theta_roll_comp = -29.7676 mrad, theta_setpoint = -40.0000 mrad, 
msg = 12727, nerr =  712p/ 670r, time steps =    5, qsz =    2, switch = off, t =   127272 ms, ax =  0.5023, ay = -0.2661, az =  9.8308, gx = -0.0079 rad/s, gy = -0.0029 rad/s, gz = -0.0104 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.8968 A, I_w_roll =  1.2928 A, theta_pitch = -55.20697mrad, theta_roll_comp = -29.8174 mrad, theta_setpoint = -40.0000 mrad, 
msg = 12728, nerr =  712p/ 670r, time steps =    5, qsz =    2, switch = off, t =   127282 ms, ax =  0.4975, ay = -0.2673, az =  9.8356, gx = -0.0077 rad/s, gy = -0.0033 rad/s, gz = -0.0104 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.9108 A, I_w_roll =  1.3657 A, theta_pitch = -55.19376mrad, theta_roll_comp = -29.8683 mrad, theta_setpoint = -40.0000 mrad, 
msg = 12729, nerr =  712p/ 670r, time steps =    5, qsz =    2, switch = off, t =   127292 ms, ax =  0.4927, ay = -0.2637, az =  9.8356, gx = -0.0074 rad/s, gy = -0.0033 rad/s, gz = -0.0103 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.9084 A, I_w_roll =  1.4403 A, theta_pitch = -55.17757mrad, theta_roll_comp = -29.9146 mrad, theta_setpoint = -40.0000 mrad, 
msg = 12730, nerr =  712p/ 670r, time steps =    5, qsz =    2, switch = off, t =   127302 ms, ax =  0.4951, ay = -0.2589, az =  9.8296, gx = -0.0073 rad/s, gy = -0.0034 rad/s, gz = -0.0101 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.9113 A, I_w_roll =  1.4711 A, theta_pitch = -55.16148mrad, theta_roll_comp = -29.9542 mrad, theta_setpoint = -40.0000 mrad, 
msg = 12731, nerr =  712p/ 670r, time steps =    5, qsz =    2, switch = off, t =   127312 ms, ax =  0.5047, ay = -0.2613, az =  9.8332, gx = -0.0070 rad/s, gy = -0.0033 rad/s, gz = -0.0101 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.0000, I_w_pitch =  6.9045 A, I_w_roll =  1.5498 A, theta_pitch = -55.15178mrad, theta_roll_comp = -29.9905 mrad, theta_setpoint = -40.0000 mrad, 
