picocom v3.1

port is        : /dev/ttyACM0
flowcontrol    : none
baudrate is    : 230400
parity is      : none
databits are   : 8
stopbits are   : 1
escape is      : C-a
local echo is  : no
noinit is      : no
noreset is     : no
hangup is      : no
nolock is      : no
send_cmd is    : sz -vv
receive_cmd is : rz -vv -E
imap is        : 8bithex,
omap is        : 
emap is        : crcrlf,delbs,
logfile is     : none
initstring     : none
exit_after is  : not set
exit is        : no

Type [C-a] [C-h] to see available commands
Terminal ready
msg = 8997, nerr =   49p/  81r, time steps =   10, qsz =    2, switch = on, t =   179942 ms, ax =  0.0420, ay = -0.5191, az =  9.9746, gx = -0.0042 rad/s, gy =  0.0181 rad/s, gz = -0.0065 rad/s, rpm_pitch =  0.0000, rpm_roll = 49.6658, I_w_pitch = -1.6859 A, I_w_roll = -3.5050 A, theta_pitch = -3.59937mrad, theta_roll_comp = -48.1931 mrad, theta_setpoint = -43.1190 mrad, 
msg = 9844, nerr =   49p/  91r, time steps =   10, qsz =    2, switch = on, t =   196882 ms, ax = -0.0288, ay = -0.3632, az = 10.0190, gx =  0.0004 rad/s, gy =  0.0375 rad/s, gz = -0.0182 rad/s, rpm_pitch =  0.0000, rpm_roll = -25.3676, I_w_pitch = -0.0791 A, I_w_roll =  1.0441 A, theta_pitch = -19.45972mrad, theta_roll_comp = -36.1861 mrad, theta_setpoint = -38.4069 mrad, 
msg = 9845, nerr =   49p/  91r, time steps =   10, qsz =    2, switch = on, t =   196902 ms, ax =  0.0240, ay = -0.3752, az =  9.9878, gx =  0.0000 rad/s, gy =  0.0528 rad/s, gz = -0.0269 rad/s, rpm_pitch =  0.0000, rpm_roll = -25.3676, I_w_pitch = -0.8865 A, I_w_roll =  0.9162 A, theta_pitch = -18.16041mrad, theta_roll_comp = -36.1565 mrad, theta_setpoint = -38.4069 mrad, 
msg = 9846, nerr =   49p/  91r, time steps =   10, qsz =    2, switch = on, t =   196922 ms, ax =  0.0659, ay = -0.3225, az =  9.9746, gx = -0.0001 rad/s, gy =  0.0606 rad/s, gz = -0.0312 rad/s, rpm_pitch =  0.0000, rpm_roll = -23.3289, I_w_pitch = -1.4097 A, I_w_roll =  0.9367 A, theta_pitch = -16.76747mrad, theta_roll_comp = -36.1166 mrad, theta_setpoint = -38.5349 mrad, 
msg = 9847, nerr =   49p/  91r, time steps =   10, qsz =    2, switch = on, t =   196942 ms, ax =  0.0839, ay = -0.3093, az =  9.9698, gx = -0.0008 rad/s, gy =  0.0628 rad/s, gz = -0.0277 rad/s, rpm_pitch =  0.0000, rpm_roll = -23.3289, I_w_pitch = -1.7066 A, I_w_roll =  0.7209 A, theta_pitch = -15.35617mrad, theta_roll_comp = -36.0735 mrad, theta_setpoint = -38.5349 mrad, 
msg = 9848, nerr =   49p/  91r, time steps =   10, qsz =    2, switch = on, t =   196962 ms, ax =  0.0899, ay = -0.3476, az =  9.9806, gx = -0.0012 rad/s, gy =  0.0604 rad/s, gz = -0.0234 rad/s, rpm_pitch =  0.0000, rpm_roll = -20.7219, I_w_pitch = -1.8140 A, I_w_roll =  0.6609 A, theta_pitch = -14.00115mrad, theta_roll_comp = -36.0378 mrad, theta_setpoint = -38.6987 mrad, 
msg = 9849, nerr =   49p/  91r, time steps =   10, qsz =    2, switch = on, t =   196982 ms, ax =  0.1151, ay = -0.3524, az =  9.9662, gx = -0.0014 rad/s, gy =  0.0550 rad/s, gz = -0.0185 rad/s, rpm_pitch =  3.4061, rpm_roll = -20.7553, I_w_pitch =  2.7077 A, I_w_roll =  0.5630 A, theta_pitch = -12.77926mrad, theta_roll_comp = -36.0475 mrad, theta_setpoint = -38.6966 mrad, 
msg = 9850, nerr =   49p/  91r, time steps =   10, qsz =    2, switch = on, t =   197002 ms, ax =  0.1295, ay = -0.3452, az =  9.9579, gx = -0.0018 rad/s, gy =  0.0469 rad/s, gz = -0.0109 rad/s, rpm_pitch =  3.4061, rpm_roll = -20.7553, I_w_pitch =  2.8795 A, I_w_roll =  0.4014 A, theta_pitch = -11.75814mrad, theta_roll_comp = -36.1019 mrad, theta_setpoint = -38.6966 mrad, 
msg = 9851, nerr =   49p/  91r, time steps =   10, qsz =    2, switch = on, t =   197022 ms, ax =  0.1043, ay = -0.3512, az =  9.9662, gx = -0.0025 rad/s, gy =  0.0410 rad/s, gz = -0.0053 rad/s, rpm_pitch =  0.3493, rpm_roll = -19.0508, I_w_pitch = -1.0435 A, I_w_roll =  0.1979 A, theta_pitch = -10.91754mrad, theta_roll_comp = -36.1351 mrad, theta_setpoint = -38.8036 mrad, 
msg = 9852, nerr =   49p/  91r, time steps =   10, qsz =    2, switch = on, t =   197042 ms, ax =  0.0743, ay = -0.3129, az =  9.9926, gx = -0.0024 rad/s, gy =  0.0432 rad/s, gz = -0.0029 rad/s, rpm_pitch =  0.0000, rpm_roll = -19.0508, I_w_pitch = -1.7209 A, I_w_roll =  0.2429 A, theta_pitch = -10.04155mrad, theta_roll_comp = -36.1392 mrad, theta_setpoint = -38.8036 mrad, 
msg = 9853, nerr =   49p/  91r, time steps =   10, qsz =    2, switch = on, t =   197062 ms, ax =  0.0767, ay = -0.2985, az =  9.9722, gx = -0.0026 rad/s, gy =  0.0445 rad/s, gz = -0.0003 rad/s, rpm_pitch =  0.0000, rpm_roll = -16.3436, I_w_pitch = -1.9196 A, I_w_roll =  0.2186 A, theta_pitch = -9.07173mrad, theta_roll_comp = -36.1370 mrad, theta_setpoint = -38.9736 mrad, 
msg = 9854, nerr =   49p/  91r, time steps =   10, qsz =    2, switch = on, t =   197082 ms, ax =  0.1259, ay = -0.3332, az =  9.9615, gx = -0.0030 rad/s, gy =  0.0404 rad/s, gz = -0.0019 rad/s, rpm_pitch =  0.0000, rpm_roll = -15.6417, I_w_pitch = -1.8805 A, I_w_roll =  0.1013 A, theta_pitch = -8.23190mrad, theta_roll_comp = -36.1248 mrad, theta_setpoint = -39.0177 mrad, 
msg = 9855, nerr =   49p/  91r, time steps =   10, qsz =    2, switch = on, t =   197102 ms, ax =  0.1055, ay = -0.3440, az =  9.9650, gx = -0.0033 rad/s, gy =  0.0324 rad/s, gz = -0.0069 rad/s, rpm_pitch =  0.0000, rpm_roll = -15.6417, I_w_pitch = -1.6583 A, I_w_roll =  0.0049 A, theta_pitch = -7.58276mrad, theta_roll_comp = -36.1328 mrad, theta_setpoint = -39.0177 mrad, 
msg = 9856, nerr =   49p/  91r, time steps =   10, qsz =    2, switch = on, t =   197122 ms, ax =  0.1295, ay = -0.3524, az =  9.9698, gx = -0.0041 rad/s, gy =  0.0232 rad/s, gz = -0.0100 rad/s, rpm_pitch =  0.0000, rpm_roll = -15.6751, I_w_pitch = -1.3569 A, I_w_roll = -0.3022 A, theta_pitch = -7.14204mrad, theta_roll_comp = -36.1992 mrad, theta_setpoint = -39.0156 mrad, 
msg = 9857, nerr =   49p/  91r, time steps =   10, qsz =    2, switch = on, t =   197142 ms, ax =  0.1403, ay = -0.3476, az =  9.9650, gx = -0.0039 rad/s, gy =  0.0122 rad/s, gz = -0.0140 rad/s, rpm_pitch =  0.0000, rpm_roll = -15.1738, I_w_pitch = -0.9467 A, I_w_roll = -0.2600 A, theta_pitch = -6.92925mrad, theta_roll_comp = -36.2419 mrad, theta_setpoint = -39.0471 mrad, 
msg = 9858, nerr =   49p/  91r, time steps =   10, qsz =    2, switch = on, t =   197162 ms, ax =  0.1403, ay = -0.3668, az =  9.9543, gx = -0.0035 rad/s, gy =  0.0014 rad/s, gz = -0.0168 rad/s, rpm_pitch =  0.0000, rpm_roll = -15.1738, I_w_pitch = -0.5135 A, I_w_roll = -0.1517 A, theta_pitch = -6.94098mrad, theta_roll_comp = -36.3204 mrad, theta_setpoint = -39.0471 mrad, 
msg = 9859, nerr =   49p/  91r, time steps =   10, qsz =    2, switch = on, t =   197182 ms, ax =  0.1223, ay = -0.3704, az =  9.9555, gx = -0.0034 rad/s, gy = -0.0092 rad/s, gz = -0.0157 rad/s, rpm_pitch =  0.0000, rpm_roll = -11.7313, I_w_pitch = -0.0632 A, I_w_roll = -0.0482 A, theta_pitch = -7.13839mrad, theta_roll_comp = -36.3945 mrad, theta_setpoint = -39.2633 mrad, 
msg = 9860, nerr =   49p/  91r, time steps =   10, qsz =    2, switch = on, t =   197202 ms, ax =  0.1151, ay = -0.3584, az =  9.9638, gx = -0.0037 rad/s, gy = -0.0187 rad/s, gz = -0.0145 rad/s, rpm_pitch =  0.0000, rpm_roll = -11.7313, I_w_pitch =  0.3784 A, I_w_roll = -0.1723 A, theta_pitch = -7.52579mrad, theta_roll_comp = -36.4718 mrad, theta_setpoint = -39.2633 mrad, 
msg = 9861, nerr =   49p/  91r, time steps =   10, qsz =    2, switch = on, t =   197222 ms, ax =  0.1079, ay = -0.3728, az =  9.9603, gx = -0.0034 rad/s, gy = -0.0265 rad/s, gz = -0.0120 rad/s, rpm_pitch =  0.0000, rpm_roll = -9.8930, I_w_pitch =  0.7667 A, I_w_roll = -0.0698 A, theta_pitch = -8.05487mrad, theta_roll_comp = -36.5639 mrad, theta_setpoint = -39.3787 mrad, 
msg = 9862, nerr =   49p/  91r, time steps =   10, qsz =    2, switch = on, t =   197242 ms, ax =  0.1019, ay = -0.3548, az =  9.9650, gx = -0.0041 rad/s, gy = -0.0321 rad/s, gz = -0.0076 rad/s, rpm_pitch =  0.0000, rpm_roll = -9.9265, I_w_pitch =  1.0851 A, I_w_roll = -0.3313 A, theta_pitch = -8.68596mrad, theta_roll_comp = -36.6332 mrad, theta_setpoint = -39.3766 mrad, 
msg = 9863, nerr =   49p/  91r, time steps =   10, qsz =    2, switch = on, t =   197262 ms, ax =  0.0695, ay = -0.3680, az =  9.9746, gx = -0.0041 rad/s, gy = -0.0342 rad/s, gz = -0.0048 rad/s, rpm_pitch =  0.0000, rpm_roll = -9.9265, I_w_pitch =  1.2706 A, I_w_roll = -0.3574 A, theta_pitch = -9.35485mrad, theta_roll_comp = -36.6982 mrad, theta_setpoint = -39.3766 mrad, 
msg = 9864, nerr =   49p/  91r, time steps =   10, qsz =    2, switch = on, t =   197282 ms, ax =  0.0599, ay = -0.3704, az =  9.9854, gx = -0.0042 rad/s, gy = -0.0337 rad/s, gz = -0.0031 rad/s, rpm_pitch =  0.0000, rpm_roll = -9.4251, I_w_pitch =  1.3418 A, I_w_roll = -0.4208 A, theta_pitch = -9.97170mrad, theta_roll_comp = -36.7719 mrad, theta_setpoint = -39.4081 mrad, 
msg = 9865, nerr =   49p/  91r, time steps =   10, qsz =    2, switch = on, t =   197302 ms, ax =  0.0575, ay = -0.3680, az =  9.9818, gx = -0.0039 rad/s, gy = -0.0305 rad/s, gz = -0.0036 rad/s, rpm_pitch =  0.0000, rpm_roll = -9.4251, I_w_pitch =  1.2975 A, I_w_roll = -0.3648 A, theta_pitch = -10.52801mrad, theta_roll_comp = -36.8648 mrad, theta_setpoint = -39.4081 mrad, 
msg = 9866, nerr =   49p/  91r, time steps =   10, qsz =    2, switch = on, t =   197322 ms, ax =  0.0647, ay = -0.3728, az =  9.9782, gx = -0.0034 rad/s, gy = -0.0270 rad/s, gz = -0.0051 rad/s, rpm_pitch =  0.0000, rpm_roll = -11.0628, I_w_pitch =  1.2310 A, I_w_roll = -0.2548 A, theta_pitch = -11.00795mrad, theta_roll_comp = -36.9531 mrad, theta_setpoint = -39.3053 mrad, 
msg = 9867, nerr =   49p/  91r, time steps =   10, qsz =    2, switch = on, t =   197342 ms, ax =  0.0575, ay = -0.3752, az =  9.9722, gx = -0.0029 rad/s, gy = -0.0245 rad/s, gz = -0.0088 rad/s, rpm_pitch =  0.0000, rpm_roll = -11.6310, I_w_pitch =  1.1932 A, I_w_roll = -0.1114 A, theta_pitch = -11.43087mrad, theta_roll_comp = -37.0248 mrad, theta_setpoint = -39.2696 mrad, 
msg = 9868, nerr =   49p/  91r, time steps =   10, qsz =    2, switch = on, t =   197362 ms, ax =  0.0647, ay = -0.3632, az =  9.9722, gx = -0.0021 rad/s, gy = -0.0218 rad/s, gz = -0.0107 rad/s, rpm_pitch =  0.0000, rpm_roll = -11.6310, I_w_pitch =  1.1396 A, I_w_roll =  0.1460 A, theta_pitch = -11.78382mrad, theta_roll_comp = -37.0804 mrad, theta_setpoint = -39.2696 mrad, 
msg = 9869, nerr =   49p/  91r, time steps =   10, qsz =    2, switch = on, t =   197382 ms, ax =  0.0767, ay = -0.3536, az =  9.9758, gx = -0.0022 rad/s, gy = -0.0194 rad/s, gz = -0.0119 rad/s, rpm_pitch =  0.0000, rpm_roll = -10.4278, I_w_pitch =  1.0915 A, I_w_roll =  0.1171 A, theta_pitch = -12.10181mrad, theta_roll_comp = -37.1117 mrad, theta_setpoint = -39.3451 mrad, 
msg = 9870, nerr =   49p/  91r, time steps =   10, qsz =    2, switch = on, t =   197402 ms, ax =  0.0695, ay = -0.3416, az =  9.9926, gx = -0.0025 rad/s, gy = -0.0170 rad/s, gz = -0.0140 rad/s, rpm_pitch =  0.0000, rpm_roll = -10.4278, I_w_pitch =  1.0360 A, I_w_roll =  0.0205 A, theta_pitch = -12.37105mrad, theta_roll_comp = -37.1202 mrad, theta_setpoint = -39.3451 mrad, 
msg = 9871, nerr =   49p/  91r, time steps =   10, qsz =    2, switch = on, t =   197422 ms, ax =  0.0743, ay = -0.3488, az =  9.9878, gx = -0.0025 rad/s, gy = -0.0146 rad/s, gz = -0.0129 rad/s, rpm_pitch =  0.0000, rpm_roll = -10.0267, I_w_pitch =  0.9720 A, I_w_roll =  0.0352 A, theta_pitch = -12.58335mrad, theta_roll_comp = -37.1085 mrad, theta_setpoint = -39.3703 mrad, 
msg = 9872, nerr =   49p/  91r, time steps =   10, qsz =    2, switch = on, t =   197442 ms, ax =  0.0719, ay = -0.3596, az =  9.9782, gx = -0.0025 rad/s, gy = -0.0122 rad/s, gz = -0.0119 rad/s, rpm_pitch =  0.0000, rpm_roll = -10.1939, I_w_pitch =  0.8989 A, I_w_roll =  0.0272 A, theta_pitch = -12.73526mrad, theta_roll_comp = -37.1181 mrad, theta_setpoint = -39.3598 mrad, 
msg = 9873, nerr =   49p/  91r, time steps =   10, qsz =    2, switch = on, t =   197462 ms, ax =  0.0659, ay = -0.3560, az =  9.9722, gx = -0.0035 rad/s, gy = -0.0096 rad/s, gz = -0.0123 rad/s, rpm_pitch =  0.0000, rpm_roll = -10.1939, I_w_pitch =  0.8072 A, I_w_roll = -0.3575 A, theta_pitch = -12.83453mrad, theta_roll_comp = -37.1477 mrad, theta_setpoint = -39.3598 mrad, 
msg = 9874, nerr =   49p/  91r, time steps =   10, qsz =    2, switch = on, t =   197482 ms, ax =  0.0935, ay = -0.3524, az =  9.9818, gx = -0.0037 rad/s, gy = -0.0066 rad/s, gz = -0.0105 rad/s, rpm_pitch =  0.0000, rpm_roll = -9.6591, I_w_pitch =  0.6998 A, I_w_roll = -0.4068 A, theta_pitch = -12.89927mrad, theta_roll_comp = -37.1882 mrad, theta_setpoint = -39.3934 mrad, 
msg = 9875, nerr =   49p/  91r, time steps =   10, qsz =    2, switch = on, t =   197502 ms, ax =  0.0791, ay = -0.3644, az =  9.9842, gx = -0.0029 rad/s, gy = -0.0032 rad/s, gz = -0.0104 rad/s, rpm_pitch =  4.7162, rpm_roll = -9.6591, I_w_pitch =  6.7819 A, I_w_roll = -0.1554 A, theta_pitch = -12.90586mrad, theta_roll_comp = -37.2586 mrad, theta_setpoint = -39.3934 mrad, 
msg = 9876, nerr =   49p/  91r, time steps =   10, qsz =    2, switch = on, t =   197522 ms, ax =  0.0767, ay = -0.3536, az =  9.9830, gx = -0.0029 rad/s, gy =  0.0006 rad/s, gz = -0.0113 rad/s, rpm_pitch =  0.2620, rpm_roll = -9.8596, I_w_pitch =  0.7451 A, I_w_roll = -0.1832 A, theta_pitch = -12.81561mrad, theta_roll_comp = -37.3156 mrad, theta_setpoint = -39.3808 mrad, 
msg = 9877, nerr =   49p/  91r, time steps =   10, qsz =    2, switch = on, t =   197542 ms, ax = -0.1319, ay = -0.3608, az = 10.0298, gx = -0.0028 rad/s, gy =  0.0164 rad/s, gz = -0.0093 rad/s, rpm_pitch =  0.2620, rpm_roll = -9.6591, I_w_pitch =  0.0490 A, I_w_roll = -0.1591 A, theta_pitch = -12.39999mrad, theta_roll_comp = -37.3844 mrad, theta_setpoint = -39.3934 mrad, 
msg = 9878, nerr =   49p/  91r, time steps =   10, qsz =    2, switch = on, t =   197562 ms, ax =  0.0216, ay = -0.3740, az =  9.9974, gx = -0.0018 rad/s, gy =  0.0448 rad/s, gz = -0.0120 rad/s, rpm_pitch =  0.0000, rpm_roll = -9.6591, I_w_pitch = -1.5519 A, I_w_roll =  0.1525 A, theta_pitch = -11.59430mrad, theta_roll_comp = -37.4210 mrad, theta_setpoint = -39.3934 mrad, 
msg = 9879, nerr =   49p/  91r, time steps =   10, qsz =    2, switch = on, t =   197582 ms, ax =  0.0695, ay = -0.3920, az =  9.9662, gx = -0.0012 rad/s, gy =  0.0572 rad/s, gz = -0.0144 rad/s, rpm_pitch =  0.0000, rpm_roll = -8.6230, I_w_pitch = -2.2136 A, I_w_roll =  0.3898 A, theta_pitch = -10.48505mrad, theta_roll_comp = -37.4753 mrad, theta_setpoint = -39.4585 mrad, 
msg = 9880, nerr =   49p/  91r, time steps =   10, qsz =    2, switch = on, t =   197602 ms, ax =  0.1043, ay = -0.3764, az =  9.9638, gx = -0.0024 rad/s, gy =  0.0573 rad/s, gz = -0.0137 rad/s, rpm_pitch =  0.0000, rpm_roll = -8.2553, I_w_pitch = -2.3956 A, I_w_roll = -0.0397 A, theta_pitch = -9.30713mrad, theta_roll_comp = -37.5236 mrad, theta_setpoint = -39.4816 mrad, 
msg = 9881, nerr =   49p/  91r, time steps =   10, qsz =    2, switch = on, t =   197622 ms, ax =  0.1462, ay = -0.3548, az =  9.9734, gx = -0.0021 rad/s, gy =  0.0485 rad/s, gz = -0.0160 rad/s, rpm_pitch =  0.0000, rpm_roll = -8.2553, I_w_pitch = -2.1911 A, I_w_roll =  0.0671 A, theta_pitch = -8.32711mrad, theta_roll_comp = -37.4898 mrad, theta_setpoint = -39.4816 mrad, 
msg = 9882, nerr =   49p/  91r, time steps =   10, qsz =    2, switch = on, t =   197642 ms, ax =  0.1846, ay = -0.3716, az =  9.9375, gx = -0.0030 rad/s, gy =  0.0339 rad/s, gz = -0.0153 rad/s, rpm_pitch =  0.0000, rpm_roll = -7.7874, I_w_pitch = -1.7003 A, I_w_roll = -0.2494 A, theta_pitch = -7.69292mrad, theta_roll_comp = -37.4946 mrad, theta_setpoint = -39.5109 mrad, 
msg = 9883, nerr =   49p/  91r, time steps =   10, qsz =    2, switch = on, t =   197662 ms, ax =  0.1954, ay = -0.3344, az =  9.9507, gx = -0.0042 rad/s, gy =  0.0177 rad/s, gz = -0.0135 rad/s, rpm_pitch =  0.0000, rpm_roll = -7.7874, I_w_pitch = -1.0990 A, I_w_roll = -0.6754 A, theta_pitch = -7.40528mrad, theta_roll_comp = -37.5112 mrad, theta_setpoint = -39.5109 mrad, 
msg = 9884, nerr =   49p/  91r, time steps =   10, qsz =    2, switch = on, t =   197682 ms, ax =  0.1954, ay = -0.3404, az =  9.9567, gx = -0.0043 rad/s, gy = -0.0012 rad/s, gz = -0.0132 rad/s, rpm_pitch =  0.0000, rpm_roll = -6.5508, I_w_pitch = -0.3296 A, I_w_roll = -0.6986 A, theta_pitch = -7.49242mrad, theta_roll_comp = -37.5303 mrad, theta_setpoint = -39.5886 mrad, 
msg = 9885, nerr =   49p/  91r, time steps =   10, qsz =    2, switch = on, t =   197702 ms, ax =  0.1822, ay = -0.3416, az =  9.9543, gx = -0.0045 rad/s, gy = -0.0199 rad/s, gz = -0.0103 rad/s, rpm_pitch =  4.4105, rpm_roll = -6.5508, I_w_pitch =  6.3068 A, I_w_roll = -0.7590 A, theta_pitch = -7.95197mrad, theta_roll_comp = -37.5647 mrad, theta_setpoint = -39.5886 mrad, 
msg = 9886, nerr =   49p/  91r, time steps =   10, qsz =    2, switch = on, t =   197722 ms, ax =  0.1690, ay = -0.3548, az =  9.9615, gx = -0.0055 rad/s, gy = -0.0359 rad/s, gz = -0.0076 rad/s, rpm_pitch =  0.1747, rpm_roll = -6.5508, I_w_pitch =  1.4749 A, I_w_roll = -1.1639 A, theta_pitch = -8.71906mrad, theta_roll_comp = -37.6448 mrad, theta_setpoint = -39.5886 mrad, 
msg = 9887, nerr =   49p/  91r, time steps =   10, qsz =    2, switch = on, t =   197742 ms, ax =  0.0887, ay = -0.3632, az =  9.9734, gx = -0.0061 rad/s, gy = -0.0426 rad/s, gz = -0.0053 rad/s, rpm_pitch =  0.1747, rpm_roll = -4.5789, I_w_pitch =  1.8761 A, I_w_roll = -1.3354 A, theta_pitch = -9.61864mrad, theta_roll_comp = -37.7316 mrad, theta_setpoint = -39.7124 mrad, 
msg = 9888, nerr =   49p/  91r, time steps =   10, qsz =    2, switch = on, t =   197762 ms, ax =  0.1199, ay = -0.3728, az =  9.9698, gx = -0.0061 rad/s, gy = -0.0387 rad/s, gz = -0.0045 rad/s, rpm_pitch =  0.0000, rpm_roll =  2.3396, I_w_pitch =  1.6218 A, I_w_roll = -1.2087 A, theta_pitch = -10.48885mrad, theta_roll_comp = -37.8491 mrad, theta_setpoint = -40.1469 mrad, 
msg = 9889, nerr =   49p/  92r, time steps =   10, qsz =    2, switch = on, t =   197782 ms, ax =  0.0959, ay = -0.3908, az =  9.9830, gx = -0.0066 rad/s, gy = -0.0368 rad/s, gz = -0.0035 rad/s, rpm_pitch =  0.0000, rpm_roll =  2.3396, I_w_pitch =  1.6604 A, I_w_roll = -1.4474 A, theta_pitch = -11.24307mrad, theta_roll_comp = -37.9798 mrad, theta_setpoint = -40.1469 mrad, 
msg = 9890, nerr =   49p/  92r, time steps =   10, qsz =    2, switch = on, t =   197802 ms, ax =  0.0743, ay = -0.3788, az =  9.9866, gx = -0.0063 rad/s, gy = -0.0367 rad/s, gz = -0.0035 rad/s, rpm_pitch =  0.0000, rpm_roll =  2.3396, I_w_pitch =  1.7550 A, I_w_roll = -1.3959 A, theta_pitch = -11.90950mrad, theta_roll_comp = -38.0841 mrad, theta_setpoint = -40.1469 mrad, 
msg = 9891, nerr =   49p/  92r, time steps =   10, qsz =    2, switch = on, t =   197822 ms, ax =  0.0827, ay = -0.3656, az =  9.9782, gx = -0.0073 rad/s, gy = -0.0367 rad/s, gz = -0.0048 rad/s, rpm_pitch =  0.0000, rpm_roll =  2.3396, I_w_pitch =  1.8538 A, I_w_roll = -1.7525 A, theta_pitch = -12.56805mrad, theta_roll_comp = -38.1602 mrad, theta_setpoint = -40.1469 mrad, 
msg = 9892, nerr =   49p/  93r, time steps =   10, qsz =    2, switch = on, t =   197842 ms, ax =  0.0935, ay = -0.3632, az =  9.9770, gx = -0.0078 rad/s, gy = -0.0362 rad/s, gz = -0.0051 rad/s, rpm_pitch =  0.0000, rpm_roll =  2.3396, I_w_pitch =  1.9289 A, I_w_roll = -1.9867 A, theta_pitch = -13.21098mrad, theta_roll_comp = -38.2795 mrad, theta_setpoint = -40.1469 mrad, 
msg = 9893, nerr =   49p/  93r, time steps =   10, qsz =    2, switch = on, t =   197862 ms, ax =  0.0791, ay = -0.3776, az =  9.9758, gx = -0.0070 rad/s, gy = -0.0355 rad/s, gz = -0.0068 rad/s, rpm_pitch =  0.0000, rpm_roll =  2.3396, I_w_pitch =  1.9936 A, I_w_roll = -1.7588 A, theta_pitch = -13.81953mrad, theta_roll_comp = -38.4089 mrad, theta_setpoint = -40.1469 mrad, 
msg = 9894, nerr =   49p/  93r, time steps =   10, qsz =    2, switch = on, t =   197882 ms, ax =  0.0719, ay = -0.3728, az =  9.9806, gx = -0.0070 rad/s, gy = -0.0341 rad/s, gz = -0.0072 rad/s, rpm_pitch =  0.0000, rpm_roll =  2.3396, I_w_pitch =  2.0199 A, I_w_roll = -1.8094 A, theta_pitch = -14.38528mrad, theta_roll_comp = -38.5353 mrad, theta_setpoint = -40.1469 mrad, 
msg = 9895, nerr =   49p/  93r, time steps =   10, qsz =    2, switch = on, t =   197902 ms, ax =  0.0803, ay = -0.3944, az =  9.9926, gx = -0.0066 rad/s, gy = -0.0310 rad/s, gz = -0.0069 rad/s, rpm_pitch =  0.0000, rpm_roll =  2.3396, I_w_pitch =  1.9740 A, I_w_roll = -1.7281 A, theta_pitch = -14.89616mrad, theta_roll_comp = -38.6817 mrad, theta_setpoint = -40.1469 mrad, 
msg = 9896, nerr =   49p/  93r, time steps =   10, qsz =    2, switch = on, t =   197922 ms, ax =  0.0683, ay = -0.4124, az =  9.9938, gx = -0.0062 rad/s, gy = -0.0273 rad/s, gz = -0.0065 rad/s, rpm_pitch =  0.0000, rpm_roll =  2.3396, I_w_pitch =  1.8900 A, I_w_roll = -1.6452 A, theta_pitch = -15.33027mrad, theta_roll_comp = -38.8239 mrad, theta_setpoint = -40.1469 mrad, 
msg = 9897, nerr =   49p/  93r, time steps =   10, qsz =    2, switch = on, t =   197942 ms, ax =  0.0767, ay = -0.3968, az =  9.9830, gx = -0.0058 rad/s, gy = -0.0225 rad/s, gz = -0.0045 rad/s, rpm_pitch =  0.0000, rpm_roll =  2.3396, I_w_pitch =  1.7478 A, I_w_roll = -1.5635 A, theta_pitch = -15.66081mrad, theta_roll_comp = -38.9692 mrad, theta_setpoint = -40.1469 mrad, 
msg = 9898, nerr =   49p/  93r, time steps =   10, qsz =    2, switch = on, t =   197962 ms, ax =  0.0695, ay = -0.4088, az =  9.9842, gx = -0.0050 rad/s, gy = -0.0167 rad/s, gz = -0.0028 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.4345, I_w_pitch =  1.5508 A, I_w_roll = -1.4116 A, theta_pitch = -15.87402mrad, theta_roll_comp = -39.1142 mrad, theta_setpoint = -39.9727 mrad, 
msg = 9899, nerr =   49p/  93r, time steps =   10, qsz =    2, switch = on, t =   197982 ms, ax =  0.0563, ay = -0.4315, az =  9.9878, gx = -0.0043 rad/s, gy = -0.0102 rad/s, gz = -0.0012 rad/s, rpm_pitch =  0.0000, rpm_roll = -0.4345, I_w_pitch =  1.3000 A, I_w_roll = -1.2377 A, theta_pitch = -15.94180mrad, theta_roll_comp = -39.2622 mrad, theta_setpoint = -39.9727 mrad, 
msg = 9900, nerr =   49p/  93r, time steps =   10, qsz =    2, switch = on, t =   198002 ms, ax =  0.0527, ay = -0.4220, az =  9.9794, gx = -0.0041 rad/s, gy = -0.0037 rad/s, gz =  0.0015 rad/s, rpm_pitch =  0.0000, rpm_roll = -1.8048, I_w_pitch =  1.0289 A, I_w_roll = -1.2343 A, theta_pitch = -15.87483mrad, theta_roll_comp = -39.4006 mrad, theta_setpoint = -39.8867 mrad, 
msg = 9901, nerr =   49p/  93r, time steps =   10, qsz =    2, switch = on, t =   198022 ms, ax =  0.0503, ay = -0.4016, az =  9.9746, gx = -0.0035 rad/s, gy =  0.0027 rad/s, gz =  0.0040 rad/s, rpm_pitch =  0.0000, rpm_roll = -2.5401, I_w_pitch =  0.7464 A, I_w_roll = -1.1081 A, theta_pitch = -15.69559mrad, theta_roll_comp = -39.5051 mrad, theta_setpoint = -39.8405 mrad, 
msg = 9902, nerr =   49p/  93r, time steps =   10, qsz =    2, switch = on, t =   198042 ms, ax =  0.0503, ay = -0.4088, az =  9.9674, gx = -0.0034 rad/s, gy =  0.0074 rad/s, gz =  0.0056 rad/s, rpm_pitch =  0.0000, rpm_roll = -2.5401, I_w_pitch =  0.5154 A, I_w_roll = -1.0898 A, theta_pitch = -15.39813mrad, theta_roll_comp = -39.5756 mrad, theta_setpoint = -39.8405 mrad, 
