picocom v3.1

port is        : /dev/ttyACM0
flowcontrol    : none
baudrate is    : 230400
parity is      : none
databits are   : 8
stopbits are   : 1
escape is      : C-a
local echo is  : no
noinit is      : no
noreset is     : no
hangup is      : no
nolock is      : no
send_cmd is    : sz -vv
receive_cmd is : rz -vv -E
imap is        : 8bithex,
omap is        : 
emap is        : crcrlf,delbs,
logfile is     : none
initstring     : none
exit_after is  : not set
exit is        : no

Type [C-a] [C-h] to see available commands
Terminal ready
msg =  175, time steps =   10, qsz =    2, switch = on, t =     3502 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.6209, ay = -0.2913, az =  9.9279, gx =  0.0067 rad/s, gy =  0.0027 rad/s, gz = -0.0334 rad/s, erpm_pitch =    0, erpm_roll = -11310, I_w_pitch = -0.0000 A, I_w_roll = -5.5666 A, theta_roll_comp = -12.7502 mrad 
msg =  384, time steps =   10, qsz =    2, switch = on, t =     7682 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5586, ay = -0.2254, az =  9.9710, gx = -0.0135 rad/s, gy =  0.0015 rad/s, gz =  0.0101 rad/s, erpm_pitch =    0, erpm_roll = -7700, I_w_pitch = -0.0000 A, I_w_roll =  0.6858 A, theta_roll_comp = -29.0581 mrad 
msg =  385, time steps =   10, qsz =    2, switch = on, t =     7702 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5322, ay = -0.2194, az =  9.9399, gx = -0.0125 rad/s, gy =  0.0020 rad/s, gz = -0.0045 rad/s, erpm_pitch =    0, erpm_roll = -7888, I_w_pitch = -0.0000 A, I_w_roll =  0.5213 A, theta_roll_comp = -29.2284 mrad 
msg =  386, time steps =   10, qsz =    2, switch = on, t =     7722 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5730, ay = -0.2625, az =  9.9303, gx = -0.0121 rad/s, gy =  0.0006 rad/s, gz = -0.0129 rad/s, erpm_pitch =    0, erpm_roll = -7888, I_w_pitch = -0.0000 A, I_w_roll =  0.4813 A, theta_roll_comp = -29.4276 mrad 
msg =  387, time steps =   10, qsz =    2, switch = on, t =     7742 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.4915, ay = -0.3057, az =  9.9710, gx = -0.0115 rad/s, gy =  0.0004 rad/s, gz = -0.0049 rad/s, erpm_pitch =    0, erpm_roll = -7980, I_w_pitch = -0.0000 A, I_w_roll =  0.4160 A, theta_roll_comp = -29.6190 mrad 
msg =  388, time steps =   10, qsz =    2, switch = on, t =     7762 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.4915, ay = -0.3189, az =  9.9615, gx = -0.0110 rad/s, gy =  0.0018 rad/s, gz =  0.0114 rad/s, erpm_pitch =    0, erpm_roll = -7980, I_w_pitch = -0.0000 A, I_w_roll =  0.3530 A, theta_roll_comp = -29.8242 mrad 
msg =  389, time steps =   10, qsz =    2, switch = on, t =     7782 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.6377, ay = -0.2409, az =  9.9195, gx = -0.0111 rad/s, gy =  0.0007 rad/s, gz =  0.0177 rad/s, erpm_pitch =    0, erpm_roll = -8164, I_w_pitch = -0.0000 A, I_w_roll =  0.3931 A, theta_roll_comp = -29.9253 mrad 
msg =  390, time steps =   10, qsz =    2, switch = on, t =     7802 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5922, ay = -0.2326, az =  9.9243, gx = -0.0115 rad/s, gy =  0.0010 rad/s, gz =  0.0032 rad/s, erpm_pitch =    0, erpm_roll = -8255, I_w_pitch = -0.0000 A, I_w_roll =  0.4827 A, theta_roll_comp = -30.0357 mrad 
msg =  391, time steps =   10, qsz =    2, switch = on, t =     7822 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5838, ay = -0.2541, az =  9.9555, gx = -0.0113 rad/s, gy = -0.0001 rad/s, gz = -0.0173 rad/s, erpm_pitch =    0, erpm_roll = -8255, I_w_pitch = -0.0000 A, I_w_roll =  0.4613 A, theta_roll_comp = -30.2014 mrad 
msg =  392, time steps =   10, qsz =    2, switch = on, t =     7842 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5646, ay = -0.3308, az =  9.9387, gx = -0.0105 rad/s, gy =  0.0000 rad/s, gz = -0.0116 rad/s, erpm_pitch =    0, erpm_roll = -8434, I_w_pitch = -0.0000 A, I_w_roll =  0.3489 A, theta_roll_comp = -30.3980 mrad 
msg =  393, time steps =   10, qsz =    2, switch = on, t =     7862 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.6401, ay = -0.3009, az =  9.9591, gx = -0.0110 rad/s, gy =  0.0019 rad/s, gz =  0.0113 rad/s, erpm_pitch =    0, erpm_roll = -8434, I_w_pitch = -0.0000 A, I_w_roll =  0.4682 A, theta_roll_comp = -30.5442 mrad 
msg =  394, time steps =   10, qsz =    2, switch = on, t =     7882 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.6293, ay = -0.1247, az =  9.9471, gx = -0.0118 rad/s, gy =  0.0011 rad/s, gz =  0.0241 rad/s, erpm_pitch =    0, erpm_roll = -8606, I_w_pitch = -0.0000 A, I_w_roll =  0.6339 A, theta_roll_comp = -30.6812 mrad 
msg =  395, time steps =   10, qsz =    2, switch = on, t =     7902 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5730, ay = -0.2326, az =  9.9507, gx = -0.0101 rad/s, gy =  0.0022 rad/s, gz =  0.0045 rad/s, erpm_pitch =    0, erpm_roll = -8696, I_w_pitch = -0.0000 A, I_w_roll =  0.3245 A, theta_roll_comp = -30.6946 mrad 
msg =  396, time steps =   10, qsz =    2, switch = on, t =     7922 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5358, ay = -0.2649, az =  9.9303, gx = -0.0099 rad/s, gy =  0.0008 rad/s, gz = -0.0229 rad/s, erpm_pitch =    0, erpm_roll = -8696, I_w_pitch = -0.0000 A, I_w_roll =  0.3192 A, theta_roll_comp = -30.8114 mrad 
msg =  397, time steps =   10, qsz =    2, switch = on, t =     7942 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5562, ay = -0.2817, az =  9.9579, gx = -0.0101 rad/s, gy =  0.0004 rad/s, gz = -0.0146 rad/s, erpm_pitch =    0, erpm_roll = -8863, I_w_pitch = -0.0000 A, I_w_roll =  0.3602 A, theta_roll_comp = -30.9182 mrad 
msg =  398, time steps =   10, qsz =    2, switch = on, t =     7962 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.4819, ay = -0.3380, az =  9.9674, gx = -0.0089 rad/s, gy =  0.0023 rad/s, gz =  0.0160 rad/s, erpm_pitch =    0, erpm_roll = -8863, I_w_pitch = -0.0000 A, I_w_roll =  0.1721 A, theta_roll_comp = -31.0903 mrad 
msg =  399, time steps =   10, qsz =    2, switch = on, t =     7982 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5286, ay = -0.2182, az =  9.9782, gx = -0.0087 rad/s, gy =  0.0026 rad/s, gz =  0.0293 rad/s, erpm_pitch =    0, erpm_roll = -9026, I_w_pitch = -0.0000 A, I_w_roll =  0.1638 A, theta_roll_comp = -31.1885 mrad 
msg =  400, time steps =   10, qsz =    2, switch = on, t =     8002 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5802, ay = -0.1966, az =  9.9435, gx = -0.0097 rad/s, gy =  0.0006 rad/s, gz = -0.0011 rad/s, erpm_pitch =    0, erpm_roll = -9110, I_w_pitch = -0.0000 A, I_w_roll =  0.3272 A, theta_roll_comp = -31.1614 mrad 
msg =  401, time steps =   10, qsz =    2, switch = on, t =     8022 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5682, ay = -0.2673, az =  9.9399, gx = -0.0090 rad/s, gy =  0.0006 rad/s, gz = -0.0321 rad/s, erpm_pitch =    0, erpm_roll = -9110, I_w_pitch = -0.0000 A, I_w_roll =  0.2118 A, theta_roll_comp = -31.1891 mrad 
msg =  402, time steps =   10, qsz =    2, switch = on, t =     8042 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5814, ay = -0.3081, az =  9.9603, gx = -0.0079 rad/s, gy =  0.0010 rad/s, gz = -0.0091 rad/s, erpm_pitch =    0, erpm_roll = -9274, I_w_pitch = -0.0000 A, I_w_roll =  0.0349 A, theta_roll_comp = -31.2817 mrad 
msg =  403, time steps =   10, qsz =    2, switch = on, t =     8062 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.6521, ay = -0.3045, az =  9.9255, gx = -0.0078 rad/s, gy =  0.0027 rad/s, gz =  0.0302 rad/s, erpm_pitch =    0, erpm_roll = -9274, I_w_pitch = -0.0000 A, I_w_roll =  0.0366 A, theta_roll_comp = -31.4418 mrad 
msg =  404, time steps =   10, qsz =    2, switch = on, t =     8082 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.6641, ay = -0.2445, az =  9.9003, gx = -0.0087 rad/s, gy =  0.0020 rad/s, gz =  0.0322 rad/s, erpm_pitch =    0, erpm_roll = -9430, I_w_pitch = -0.0000 A, I_w_roll =  0.2148 A, theta_roll_comp = -31.5071 mrad 
msg =  405, time steps =   10, qsz =    2, switch = on, t =     8102 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5802, ay = -0.1990, az =  9.9195, gx = -0.0073 rad/s, gy =  0.0011 rad/s, gz = -0.0202 rad/s, erpm_pitch =    0, erpm_roll = -9509, I_w_pitch = -0.0000 A, I_w_roll = -0.0517 A, theta_roll_comp = -31.4891 mrad 
msg =  406, time steps =   10, qsz =    2, switch = on, t =     8122 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5466, ay = -0.3105, az =  9.9267, gx = -0.0070 rad/s, gy = -0.0006 rad/s, gz = -0.0395 rad/s, erpm_pitch =    0, erpm_roll = -9509, I_w_pitch = -0.0000 A, I_w_roll = -0.0935 A, theta_roll_comp = -31.5279 mrad 
msg =  407, time steps =   10, qsz =    2, switch = on, t =     8142 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5490, ay = -0.3752, az = 10.0082, gx = -0.0071 rad/s, gy =  0.0006 rad/s, gz =  0.0023 rad/s, erpm_pitch =    0, erpm_roll = -9666, I_w_pitch = -0.0000 A, I_w_roll = -0.0477 A, theta_roll_comp = -31.6643 mrad 
msg =  408, time steps =   10, qsz =    2, switch = on, t =     8162 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.6030, ay = -0.2314, az =  9.9339, gx = -0.0065 rad/s, gy =  0.0020 rad/s, gz =  0.0474 rad/s, erpm_pitch =    0, erpm_roll = -9742, I_w_pitch = -0.0000 A, I_w_roll = -0.1529 A, theta_roll_comp = -31.7557 mrad 
msg =  409, time steps =   10, qsz =    2, switch = on, t =     8182 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.6161, ay = -0.2026, az =  9.9039, gx = -0.0057 rad/s, gy =  0.0020 rad/s, gz =  0.0160 rad/s, erpm_pitch =    0, erpm_roll = -9742, I_w_pitch = -0.0000 A, I_w_roll = -0.3001 A, theta_roll_comp = -31.7344 mrad 
msg =  410, time steps =   10, qsz =    2, switch = on, t =     8202 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5790, ay = -0.2673, az =  9.9183, gx = -0.0063 rad/s, gy =  0.0002 rad/s, gz = -0.0467 rad/s, erpm_pitch =    0, erpm_roll = -9900, I_w_pitch = -0.0000 A, I_w_roll = -0.1873 A, theta_roll_comp = -31.6902 mrad 
msg =  411, time steps =   10, qsz =    2, switch = on, t =     8222 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5658, ay = -0.3380, az =  9.9794, gx = -0.0070 rad/s, gy =  0.0004 rad/s, gz = -0.0308 rad/s, erpm_pitch =    0, erpm_roll = -9900, I_w_pitch = -0.0000 A, I_w_roll = -0.0538 A, theta_roll_comp = -31.7756 mrad 
msg =  412, time steps =   10, qsz =    2, switch = on, t =     8242 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.4699, ay = -0.3440, az = 10.0022, gx = -0.0051 rad/s, gy =  0.0038 rad/s, gz =  0.0411 rad/s, erpm_pitch =    0, erpm_roll = -10059, I_w_pitch = -0.0000 A, I_w_roll = -0.3631 A, theta_roll_comp = -31.9400 mrad 
msg =  413, time steps =   10, qsz =    2, switch = on, t =     8262 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5682, ay = -0.2242, az =  9.9003, gx = -0.0057 rad/s, gy =  0.0028 rad/s, gz =  0.0494 rad/s, erpm_pitch =    0, erpm_roll = -10140, I_w_pitch = -0.0000 A, I_w_roll = -0.2584 A, theta_roll_comp = -31.9951 mrad 
msg =  414, time steps =   10, qsz =    2, switch = on, t =     8282 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.6545, ay = -0.1438, az =  9.8524, gx = -0.0070 rad/s, gy =  0.0003 rad/s, gz = -0.0324 rad/s, erpm_pitch =    0, erpm_roll = -10140, I_w_pitch = -0.0000 A, I_w_roll = -0.0458 A, theta_roll_comp = -31.8259 mrad 
msg =  415, time steps =   10, qsz =    2, switch = on, t =     8302 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5646, ay = -0.3452, az =  9.9231, gx = -0.0066 rad/s, gy = -0.0018 rad/s, gz = -0.0574 rad/s, erpm_pitch =    0, erpm_roll = -10300, I_w_pitch = -0.0000 A, I_w_roll = -0.1223 A, theta_roll_comp = -31.7971 mrad 
msg =  416, time steps =   10, qsz =    2, switch = on, t =     8322 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5754, ay = -0.4208, az = 10.0418, gx = -0.0053 rad/s, gy =  0.0016 rad/s, gz =  0.0173 rad/s, erpm_pitch =    0, erpm_roll = -10300, I_w_pitch = -0.0000 A, I_w_roll = -0.3255 A, theta_roll_comp = -32.0249 mrad 
msg =  417, time steps =   10, qsz =    2, switch = on, t =     8342 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5898, ay = -0.3225, az =  9.9327, gx = -0.0051 rad/s, gy =  0.0050 rad/s, gz =  0.0686 rad/s, erpm_pitch =    0, erpm_roll = -10462, I_w_pitch = -0.0000 A, I_w_roll = -0.3274 A, theta_roll_comp = -32.1633 mrad 
msg =  418, time steps =   10, qsz =    2, switch = on, t =     8362 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.6665, ay = -0.1307, az =  9.8008, gx = -0.0070 rad/s, gy =  0.0012 rad/s, gz = -0.0033 rad/s, erpm_pitch =    0, erpm_roll = -10542, I_w_pitch = -0.0000 A, I_w_roll = -0.0119 A, theta_roll_comp = -32.0375 mrad 
msg =  419, time steps =   10, qsz =    2, switch = on, t =     8382 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5874, ay = -0.2290, az =  9.9674, gx = -0.0067 rad/s, gy = -0.0008 rad/s, gz = -0.0683 rad/s, erpm_pitch =    0, erpm_roll = -10542, I_w_pitch = -0.0000 A, I_w_roll = -0.0839 A, theta_roll_comp = -31.8873 mrad 
msg =  420, time steps =   10, qsz =    2, switch = on, t =     8402 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.4208, ay = -0.4615, az = 10.0777, gx = -0.0057 rad/s, gy =  0.0016 rad/s, gz = -0.0128 rad/s, erpm_pitch =    0, erpm_roll = -10712, I_w_pitch = -0.0000 A, I_w_roll = -0.2489 A, theta_roll_comp = -32.0546 mrad 
msg =  421, time steps =   10, qsz =    2, switch = on, t =     8422 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.4891, ay = -0.4184, az =  9.9303, gx = -0.0057 rad/s, gy =  0.0039 rad/s, gz =  0.0723 rad/s, erpm_pitch =    0, erpm_roll = -10712, I_w_pitch = -0.0000 A, I_w_roll = -0.2013 A, theta_roll_comp = -32.3520 mrad 
msg =  422, time steps =   10, qsz =    2, switch = on, t =     8442 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.6569, ay = -0.0815, az =  9.8368, gx = -0.0074 rad/s, gy =  0.0028 rad/s, gz =  0.0214 rad/s, erpm_pitch =    0, erpm_roll = -10889, I_w_pitch = -0.0000 A, I_w_roll =  0.0935 A, theta_roll_comp = -32.2470 mrad 
msg =  423, time steps =   10, qsz =    2, switch = on, t =     8462 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.6605, ay = -0.1714, az =  9.9315, gx = -0.0086 rad/s, gy =  0.0000 rad/s, gz = -0.0659 rad/s, erpm_pitch =    0, erpm_roll = -10978, I_w_pitch = -0.0000 A, I_w_roll =  0.2633 A, theta_roll_comp = -31.9603 mrad 
msg =  424, time steps =   10, qsz =    2, switch = on, t =     8482 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.4148, ay = -0.4735, az = 10.0322, gx = -0.0066 rad/s, gy =  0.0000 rad/s, gz = -0.0293 rad/s, erpm_pitch =    0, erpm_roll = -10978, I_w_pitch = -0.0000 A, I_w_roll = -0.0765 A, theta_roll_comp = -32.0833 mrad 
msg =  425, time steps =   10, qsz =    2, switch = on, t =     8502 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.4603, ay = -0.4615, az =  9.9399, gx = -0.0058 rad/s, gy =  0.0031 rad/s, gz =  0.0667 rad/s, erpm_pitch =    0, erpm_roll = -11155, I_w_pitch = -0.0000 A, I_w_roll = -0.1571 A, theta_roll_comp = -32.4784 mrad 
msg =  426, time steps =   10, qsz =    2, switch = on, t =     8522 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.6497, ay = -0.1031, az =  9.8380, gx = -0.0077 rad/s, gy =  0.0040 rad/s, gz =  0.0292 rad/s, erpm_pitch =    0, erpm_roll = -11155, I_w_pitch = -0.0000 A, I_w_roll =  0.1749 A, theta_roll_comp = -32.4563 mrad 
msg =  427, time steps =   10, qsz =    2, switch = on, t =     8542 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.6617, ay = -0.1043, az =  9.9303, gx = -0.0075 rad/s, gy = -0.0009 rad/s, gz = -0.0597 rad/s, erpm_pitch =    0, erpm_roll = -11323, I_w_pitch = -0.0000 A, I_w_roll =  0.1043 A, theta_roll_comp = -32.1649 mrad 
msg =  428, time steps =   10, qsz =    2, switch = on, t =     8562 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5214, ay = -0.4543, az =  9.9806, gx = -0.0046 rad/s, gy = -0.0013 rad/s, gz = -0.0269 rad/s, erpm_pitch =    0, erpm_roll = -11402, I_w_pitch = -0.0000 A, I_w_roll = -0.4049 A, theta_roll_comp = -32.2777 mrad 
msg =  429, time steps =   10, qsz =    2, switch = on, t =     8582 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.4220, ay = -0.4555, az =  9.9147, gx = -0.0034 rad/s, gy =  0.0038 rad/s, gz =  0.0579 rad/s, erpm_pitch =    0, erpm_roll = -11402, I_w_pitch = -0.0000 A, I_w_roll = -0.5631 A, theta_roll_comp = -32.6372 mrad 
msg =  430, time steps =   10, qsz =    2, switch = on, t =     8602 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.7156, ay = -0.0683, az =  9.8632, gx = -0.0058 rad/s, gy =  0.0034 rad/s, gz =  0.0198 rad/s, erpm_pitch =    0, erpm_roll = -11541, I_w_pitch = -0.0000 A, I_w_roll = -0.1419 A, theta_roll_comp = -32.5733 mrad 
msg =  431, time steps =   10, qsz =    2, switch = on, t =     8622 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.6701, ay = -0.1474, az =  9.9387, gx = -0.0042 rad/s, gy = -0.0012 rad/s, gz = -0.0509 rad/s, erpm_pitch =    0, erpm_roll = -11600, I_w_pitch = -0.0000 A, I_w_roll = -0.4793 A, theta_roll_comp = -32.2624 mrad 
msg =  432, time steps =   10, qsz =    2, switch = on, t =     8642 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.4507, ay = -0.4963, az = 10.0226, gx = -0.0001 rad/s, gy =  0.0002 rad/s, gz = -0.0105 rad/s, erpm_pitch =    0, erpm_roll = -11600, I_w_pitch = -0.0000 A, I_w_roll = -1.2037 A, theta_roll_comp = -32.3784 mrad 
msg =  433, time steps =   10, qsz =    2, switch = on, t =     8662 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5226, ay = -0.3752, az =  9.9159, gx =  0.0010 rad/s, gy =  0.0038 rad/s, gz =  0.0487 rad/s, erpm_pitch =    0, erpm_roll = -11691, I_w_pitch = -0.0000 A, I_w_roll = -1.3599 A, theta_roll_comp = -32.6008 mrad 
msg =  434, time steps =   10, qsz =    2, switch = on, t =     8682 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.6413, ay = -0.1906, az =  9.8368, gx =  0.0012 rad/s, gy =  0.0026 rad/s, gz = -0.0019 rad/s, erpm_pitch =    0, erpm_roll = -11691, I_w_pitch = -0.0000 A, I_w_roll = -1.4274 A, theta_roll_comp = -32.4785 mrad 
msg =  435, time steps =   10, qsz =    2, switch = on, t =     8702 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.6437, ay = -0.3308, az =  9.9638, gx =  0.0050 rad/s, gy = -0.0020 rad/s, gz = -0.0399 rad/s, erpm_pitch =    0, erpm_roll = -11742, I_w_pitch = -0.0000 A, I_w_roll = -2.1318 A, theta_roll_comp = -32.2703 mrad 
msg =  436, time steps =   10, qsz =    2, switch = on, t =     8722 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.4567, ay = -0.4831, az = 10.0202, gx =  0.0091 rad/s, gy =  0.0007 rad/s, gz =  0.0144 rad/s, erpm_pitch =    0, erpm_roll = -11754, I_w_pitch = -0.0000 A, I_w_roll = -2.8620 A, theta_roll_comp = -32.3503 mrad 
msg =  437, time steps =   10, qsz =    2, switch = on, t =     8742 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.6030, ay = -0.3488, az =  9.9015, gx =  0.0104 rad/s, gy =  0.0036 rad/s, gz =  0.0345 rad/s, erpm_pitch =    0, erpm_roll = -11754, I_w_pitch = -0.0000 A, I_w_roll = -3.0979 A, theta_roll_comp = -32.3735 mrad 
msg =  438, time steps =   10, qsz =    2, switch = on, t =     8762 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.6833, ay = -0.2373, az =  9.8871, gx =  0.0126 rad/s, gy =  0.0018 rad/s, gz = -0.0228 rad/s, erpm_pitch =    0, erpm_roll = -11763, I_w_pitch = -0.0000 A, I_w_roll = -3.5412 A, theta_roll_comp = -32.0000 mrad 
msg =  439, time steps =   10, qsz =    2, switch = on, t =     8782 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.4723, ay = -0.4603, az =  9.9794, gx =  0.0174 rad/s, gy = -0.0004 rad/s, gz = -0.0261 rad/s, erpm_pitch =    0, erpm_roll = -11763, I_w_pitch = -0.0000 A, I_w_roll = -4.4511 A, theta_roll_comp = -31.7057 mrad 
msg =  440, time steps =   10, qsz =    2, switch = on, t =     8802 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5011, ay = -0.4963, az =  9.9866, gx =  0.0208 rad/s, gy =  0.0024 rad/s, gz =  0.0322 rad/s, erpm_pitch =    0, erpm_roll = -11761, I_w_pitch = -0.0000 A, I_w_roll = -5.0838 A, theta_roll_comp = -31.6460 mrad 
msg =  441, time steps =   10, qsz =    2, switch = on, t =     8822 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.5970, ay = -0.2637, az =  9.8907, gx =  0.0216 rad/s, gy =  0.0042 rad/s, gz =  0.0184 rad/s, erpm_pitch =    0, erpm_roll = -11759, I_w_pitch = -0.0000 A, I_w_roll = -5.2813 A, theta_roll_comp = -31.3105 mrad 
msg =  442, time steps =   10, qsz =    2, switch = on, t =     8842 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.6497, ay = -0.2865, az =  9.9219, gx =  0.0252 rad/s, gy =  0.0015 rad/s, gz = -0.0380 rad/s, erpm_pitch =    0, erpm_roll = -11759, I_w_pitch = -0.0000 A, I_w_roll = -6.0263 A, theta_roll_comp = -30.6989 mrad 
msg =  443, time steps =   10, qsz =    2, switch = on, t =     8862 ms, kp1 = -80.0000, kd1 = -90.0000, kp2 =  0.0350, setpoint_theta_0 = -0.0400, ax =  0.4052, ay = -0.5023, az = 10.0142, gx =  0.0308 rad/s, gy =  0.0016 rad/s, gz = -0.0080 rad/s, erpm_pitch =    0, erpm_roll = -11751, I_w_pitch = -0.0000 A, I_w_roll = -7.0912 A, theta_roll_comp = -30.3347 mrad 
